Latitude,Longitude,AQI,CO,NO,NO2,O3,SO2,PM2.5,PM10,NH3,Timestamp,Is_Land
24.0,-100.5,3,247,0,2.53,114.44,3.22,12.83,21.13,1.09,2025-03-07 03:49:04,True
24.0,-101.0,2,188.59,0,0.5,74.39,0.06,1.54,5.67,0.46,2025-03-07 03:49:04,True
24.0,-111.0,2,236.99,0,0.57,91.55,0.17,7.58,17.59,0.33,2025-03-07 03:49:02,True
24.0,-107.0,2,267.03,0,7.71,64.37,0.63,7.35,17.59,2.12,2025-03-07 03:49:02,True
24.0,-105.0,2,198.6,0,1.46,86.55,0.39,4.48,5.1,0.31,2025-03-07 03:49:02,True
24.0,-99.5,2,203.61,0,0.33,61.51,0.91,6.77,11.16,3.04,2025-03-07 03:49:04,True
24.0,-104.0,2,188.59,0,0.53,77.25,0.14,1.81,2.42,0.54,2025-03-07 03:49:02,True
24.0,-102.0,2,185.25,0,0.54,69.38,0.08,1.63,5.57,0.77,2025-03-07 03:49:02,True
24.0,-105.5,2,185.25,0,0.91,74.39,1.3,4.47,5.18,0.74,2025-03-07 03:49:02,True
24.0,-110.0,2,240.33,0,3.13,92.98,0.89,4.86,12.45,1.82,2025-03-07 03:49:02,True
24.0,-104.5,2,206.95,0,1.76,80.11,0.57,2.59,3.51,0.52,2025-03-07 03:49:02,True
24.0,-106.5,1,240.33,0,4.41,56.51,0.2,7.7,16.58,1.69,2025-03-07 03:49:02,True
24.0,-102.5,2,183.58,0,0.55,71.53,0.11,1.61,4.68,0.67,2025-03-07 03:49:02,True
24.0,-110.5,2,236.99,0,1.5,82.97,0.16,7.24,18.61,1.09,2025-03-07 03:49:02,True
24.0,-101.5,2,188.59,0,0.46,71.53,0.07,1.65,5.75,0.59,2025-03-07 03:49:02,True
24.0,-99.0,3,233.65,0,1.44,108.72,4.71,9.91,30.57,0.81,2025-03-07 03:49:04,True
24.0,-103.0,2,193.6,0,0.58,77.25,0.13,1.72,4.05,0.68,2025-03-07 03:49:02,True
24.0,-100.0,3,220.3,0,0.69,101.57,2.86,10.3,17.75,1.05,2025-03-07 03:49:04,True
24.0,-106.0,3,206.95,0,0.55,110.15,4.95,8.61,11.51,1.95,2025-03-07 03:49:02,True
24.0,-103.5,2,185.25,0,0.28,78.68,0.11,1.79,2.83,0.55,2025-03-07 03:49:02,True
24.0,-98.0,3,220.3,0,0.24,105.86,0.18,9.34,34.39,0.78,2025-03-07 03:49:04,True
24.0,-98.5,2,216.96,0,0.59,98.71,1.07,8.68,29.48,0.78,2025-03-07 03:49:04,True
24.0,-75.0,3,233.65,0,0.4,138.76,0.47,4.8,20.52,0.44,2025-03-07 03:49:05,True
24.0,-79.5,3,230.31,0,0.34,123.02,0.43,2.55,9.74,0.67,2025-03-07 03:49:04,True
24.0,-76.0,3,240.33,0,1.13,135.9,2.62,4.93,18.26,0.52,2025-03-07 03:49:05,True
24.0,-78.5,3,226.97,0,0.3,117.3,0.6,4.46,16.62,0.39,2025-03-07 03:49:04,True
24.0,-77.0,3,236.99,0,0.44,137.33,0.62,5.72,16.33,0.53,2025-03-07 03:49:04,True
24.0,-80.5,3,233.65,0,0.42,117.3,0.47,2.51,9.16,0.73,2025-03-07 03:49:04,True
