Latitude,Longitude,AQI,CO,NO,NO2,O3,SO2,PM2.5,PM10,NH3,Timestamp,Is_Land
24.0,-105.5,2,190.26,0,1.14,73.67,1.25,5.16,5.99,0.8,2025-03-07 04:37:32,True
24.0,-100.5,3,253.68,0,2.72,113.01,3.22,14.02,22.89,1.17,2025-03-07 04:37:32,True
24.0,-111.0,2,230.31,0,0.58,87.26,0.14,6.14,15.36,0.4,2025-03-07 04:37:32,True
24.0,-110.5,2,236.99,0,1.52,82.25,0.14,8.19,20.45,1.25,2025-03-07 04:37:32,True
24.0,-104.5,2,208.62,0,1.93,82.25,0.6,2.71,3.74,0.57,2025-03-07 04:37:32,True
24.0,-99.0,3,233.65,0,1.52,104.43,4.23,9.65,29.83,0.79,2025-03-07 04:37:32,True
24.0,-99.5,1,201.94,0,0.38,55.79,0.61,5.83,9.09,3.2,2025-03-07 04:37:32,True
24.0,-104.0,2,191.93,0,0.56,80.82,0.15,1.99,2.69,0.65,2025-03-07 04:37:32,True
24.0,-102.0,2,186.92,0,0.58,67.23,0.09,1.78,6.09,1,2025-03-07 04:37:32,True
24.0,-100.0,3,220.3,0,0.73,101.57,3.16,11.45,20.21,1.11,2025-03-07 04:37:32,True
24.0,-103.0,2,195.27,0,0.74,77.25,0.16,1.92,4.54,0.88,2025-03-07 04:37:32,True
24.0,-101.0,2,193.6,0,0.59,72.96,0.07,1.64,5.74,0.48,2025-03-07 04:37:32,True
24.0,-110.0,2,240.33,0,3.3,86.55,0.71,4.67,12.32,1.98,2025-03-07 04:37:32,True
24.0,-107.0,2,283.72,0,9.85,62.23,0.9,7.65,17.59,3.33,2025-03-07 04:37:32,True
24.0,-101.5,2,188.59,0,0.55,68.67,0.09,1.8,6.16,0.76,2025-03-07 04:37:32,True
24.0,-106.5,1,240.33,0,4.07,56.51,0.23,7.76,16.44,2.28,2025-03-07 04:37:32,True
24.0,-106.0,3,208.62,0,0.54,113.01,5.36,8.69,11.49,2.22,2025-03-07 04:37:32,True
24.0,-102.5,2,185.25,0,0.56,72.24,0.13,1.78,5.1,0.78,2025-03-07 04:37:32,True
24.0,-103.5,2,186.92,0,0.26,82.25,0.11,1.96,3.11,0.59,2025-03-07 04:37:32,True
24.0,-105.0,2,200.27,0,1.37,88.69,0.44,5.09,5.81,0.33,2025-03-07 04:37:32,True
24.0,-98.0,3,220.3,0,0.22,105.86,0.17,9.08,32.97,0.76,2025-03-07 04:37:33,True
24.0,-98.5,2,216.96,0,0.66,98.71,1.37,8.64,28.35,0.68,2025-03-07 04:37:33,True
24.0,-80.0,3,230.31,0,0.36,117.3,0.44,2.33,8.72,0.65,2025-03-07 04:37:33,True
24.0,-77.5,3,243.66,0,0.41,113.01,0.29,7.07,18.34,0.23,2025-03-07 04:37:33,True
24.0,-80.5,3,233.65,0,0.43,114.44,0.48,2.4,8.62,0.71,2025-03-07 04:37:33,True
24.0,-79.5,3,230.31,0,0.34,121.59,0.44,2.5,8.96,0.67,2025-03-07 04:37:33,True
24.0,-75.5,4,233.65,0,0.44,140.19,0.82,4.14,16.73,0.51,2025-03-07 04:37:33,True
24.0,-76.5,3,236.99,0,0.53,135.9,1,4.54,13.87,0.55,2025-03-07 04:37:33,True
24.0,-79.0,3,230.31,0,0.36,115.87,0.53,3.47,11.98,0.77,2025-03-07 04:37:33,True
24.0,-77.0,4,236.99,0,0.42,140.19,0.62,5.34,14.66,0.55,2025-03-07 04:37:33,True
24.5,-112.0,2,220.3,0,0.3,86.55,0.29,2.6,7.98,0,2025-03-07 04:37:33,True
24.0,-78.5,3,230.31,0,0.3,115.87,0.57,4.25,15.48,0.46,2025-03-07 04:37:33,True
24.0,-78.0,3,236.99,0,0.32,120.16,0.46,5.09,17.75,0.34,2025-03-07 04:37:33,True
24.0,-74.5,3,233.65,0,0.55,137.33,0.68,4.43,19.76,0.4,2025-03-07 04:37:33,True
24.0,-76.0,3,236.99,0,0.93,137.33,2.27,4.43,16.21,0.54,2025-03-07 04:37:33,True
24.0,-75.0,3,233.65,0,0.39,138.76,0.47,4.13,18.14,0.45,2025-03-07 04:37:33,True
24.5,-111.5,2,223.64,0,0.38,82.25,0.08,2.9,8.67,0.3,2025-03-07 04:37:33,True
24.5,-110.0,2,226.97,0,10.97,74.39,6.8,6.04,12.56,0.15,2025-03-07 04:37:33,True
24.5,-110.5,2,226.97,0,0.43,86.55,0.13,6.6,17.56,0.78,2025-03-07 04:37:33,True
24.5,-111.0,2,220.3,0,0.66,80.11,0.14,5.54,17.27,0.59,2025-03-07 04:37:33,True
24.5,-108.0,3,223.64,0,0.47,111.58,0.7,6.53,15.7,0.17,2025-03-07 04:37:34,True
24.5,-107.5,2,240.33,0,2.79,70.81,1.42,6.31,14.67,1.31,2025-03-07 04:37:34,True
24.5,-107.0,2,233.65,0,3.47,65.8,0.38,6.77,14.68,3.71,2025-03-07 04:37:34,True
24.5,-102.5,2,196.93,0,0.32,77.25,0.11,1.87,5.16,0.59,2025-03-07 04:37:34,True
24.5,-103.5,2,193.6,0,0.79,73.67,0.21,2.02,3.12,0.63,2025-03-07 04:37:34,True
24.5,-103.0,2,190.26,0,0.39,75.1,0.13,1.84,4.39,0.67,2025-03-07 04:37:34,True
24.5,-106.5,2,210.29,0,0.4,67.23,0.31,6.53,11.85,1.58,2025-03-07 04:37:34,True
24.5,-104.5,2,196.93,0,0.75,88.69,0.95,3.19,4.2,0.68,2025-03-07 04:37:34,True
24.5,-106.0,2,186.92,0,0.18,68.67,0.33,3.78,4.97,0.47,2025-03-07 04:37:34,True
