Latitude,Longitude,AQI,CO,NO,NO2,O3,SO2,PM2.5,PM10,NH3,Timestamp,Is_Land
24.0,-111.0,2,233.65,0,0.5,98.71,0.37,15.58,36.86,0.01,2025-03-02 01:34:04,True
24.0,-110.5,2,233.65,0,1.2,98.71,0.28,15,30.84,0.63,2025-03-02 01:34:05,True
24.0,-110.0,3,240.33,0,1.26,104.43,0.21,11.52,23.92,1.35,2025-03-02 01:34:06,True
24.0,-107.0,2,250.34,0,5.66,74.39,0.25,17.3,36.24,1.35,2025-03-02 01:34:12,True
24.0,-106.5,2,236.99,0,1.84,80.82,0.12,12.74,17.42,0.95,2025-03-02 01:34:13,True
24.0,-106.0,2,220.3,0,0.41,90.84,2.56,20.79,23.99,0,2025-03-02 01:34:14,True
24.0,-105.5,2,196.93,0,0.23,70.81,2.3,15.24,16.25,0,2025-03-02 01:34:15,True
24.0,-105.0,1,191.93,0,1.36,54.36,0.31,4.1,4.56,0.24,2025-03-02 01:34:16,True
24.0,-104.5,1,208.62,0,2.66,55.79,0.6,2.97,3.56,0.33,2025-03-02 01:34:17,True
24.0,-104.0,1,191.93,0,1.18,55.08,0.25,1.21,1.53,0.46,2025-03-02 01:34:18,True
24.0,-103.5,1,191.93,0,0.86,50.07,0.2,1.27,2.48,2.09,2025-03-02 01:34:19,True
24.0,-103.0,2,188.59,0,0.34,62.94,0.09,2.83,7.56,0.72,2025-03-02 01:34:20,True
24.0,-102.5,1,183.58,0,0.3,57.94,0.08,3.15,8.78,1.17,2025-03-02 01:34:21,True
24.0,-102.0,2,193.6,0,0.21,61.51,0.07,2.96,8.98,0.52,2025-03-02 01:34:22,True
24.0,-101.5,1,186.92,0,0.23,56.51,0.07,2.73,8.36,0.47,2025-03-02 01:34:23,True
24.0,-101.0,1,196.93,0,0.57,57.94,0.06,2.4,7.92,0.34,2025-03-02 01:34:24,True
24.0,-100.5,1,198.6,0,1.14,58.65,0.14,3.01,8.06,0.59,2025-03-02 01:34:25,True
24.0,-100.0,2,210.29,0,0.36,61.51,0.12,4.38,6.2,0.54,2025-03-02 01:34:26,True
24.0,-99.5,1,198.6,0,0.2,48.64,0.15,3.78,5.15,1.16,2025-03-02 01:34:28,True
24.0,-99.0,2,233.65,0,1.14,79.39,0.35,4.94,7.63,0.71,2025-03-02 01:34:28,True
24.0,-98.5,2,226.97,0,0.52,71.53,0.07,3.7,6.15,0.62,2025-03-02 01:34:29,True
24.0,-98.0,2,226.97,0,0.11,65.09,0.02,1.94,3.37,0.4,2025-03-02 01:34:30,True
24.0,-80.5,3,240.33,0,0.48,108.72,0.53,7.65,11.75,0,2025-03-02 01:35:05,True
24.0,-80.0,3,243.66,0,0.39,101.57,0.4,9.01,14.03,0,2025-03-02 01:35:06,True
24.0,-79.5,2,240.33,0,0.41,98.71,0.43,8.09,11.75,0,2025-03-02 01:35:07,True
24.0,-79.0,2,230.31,0,0.17,68.67,0.1,1.86,3.05,0,2025-03-02 01:35:08,True
24.0,-78.5,2,223.64,0,0.17,66.52,0.08,2.63,4.04,0,2025-03-02 01:35:09,True
24.0,-78.0,2,223.64,0,0.11,60.08,0.05,2.56,4.12,0,2025-03-02 01:35:10,True
24.0,-77.5,1,223.64,0,0.1,45.42,0.02,2.25,3.7,0.01,2025-03-02 01:35:11,True
24.0,-77.0,1,226.97,0,0.12,56.51,0.05,1.81,3.52,0,2025-03-02 01:35:12,True
24.0,-76.5,1,216.96,0,0.11,54.36,0.06,1.7,3.42,0,2025-03-02 01:35:13,True
24.0,-76.0,1,203.61,0,0.15,57.94,0.1,2.57,7.3,0,2025-03-02 01:35:14,True
24.0,-75.5,2,208.62,0,1.16,60.08,0.82,2.8,8.51,0,2025-03-02 01:35:15,True
24.0,-75.0,2,213.62,0,0.27,62.94,0.21,2.82,8.68,0,2025-03-02 01:35:16,True
24.0,-74.5,1,226.97,0,0.98,56.51,0.58,1.97,5.98,0,2025-03-02 01:35:17,True
24.5,-112.0,2,230.31,0,0.34,90.12,0.26,12.93,36.63,0.04,2025-03-02 01:36:58,True
24.5,-111.5,3,236.99,0,0.42,101.57,0.15,15.54,41.78,0.47,2025-03-02 01:36:59,True
24.5,-111.0,3,226.97,0,0.45,101.57,0.12,11.22,27.06,0.71,2025-03-02 01:37:00,True
24.5,-110.5,3,270.37,0,1.65,131.61,2.06,16.65,29.64,0.25,2025-03-02 01:37:01,True
24.5,-110.0,3,230.31,0,1.13,100.14,0.8,15.11,27.51,0.03,2025-03-02 01:37:02,True
24.5,-108.0,2,220.3,0,0.17,74.39,0.18,24.31,45.69,0.04,2025-03-02 01:37:06,True
24.5,-107.5,2,233.65,0,2.1,66.52,0.5,22.71,44.24,0.71,2025-03-02 01:37:07,True
24.5,-107.0,2,230.31,0,1.16,82.25,0.14,12.41,19.07,1.63,2025-03-02 01:37:08,True
24.5,-106.5,2,216.96,0,0.27,72.96,0.12,11.02,15.86,0.69,2025-03-02 01:37:09,True
24.5,-106.0,1,193.6,0,0.08,54.36,0.09,5.09,5.82,0.35,2025-03-02 01:37:10,True
24.5,-105.5,1,183.58,0,0.12,47.21,0.05,2.38,2.7,0.28,2025-03-02 01:37:11,True
24.5,-105.0,1,181.91,0,0.13,50.78,0.07,2.1,2.48,0.29,2025-03-02 01:37:12,True
24.5,-104.5,1,190.26,0,0.56,55.79,0.07,1.63,2.23,0.5,2025-03-02 01:37:13,True
24.5,-104.0,2,216.96,0,4.33,63.66,0.17,3.3,6.88,1.44,2025-03-02 01:37:14,True
24.5,-103.5,2,201.94,0,0.81,72.24,0.3,5.02,10.61,0.91,2025-03-02 01:37:15,True
24.5,-103.0,2,211.95,0,0.42,79.39,0.29,6.57,14.68,0.63,2025-03-02 01:37:16,True
24.5,-102.5,2,208.62,0,0.4,75.82,0.19,5.86,14.6,0.48,2025-03-02 01:37:18,True
24.5,-102.0,2,196.93,0,0.28,67.95,0.11,3.96,9.9,0.58,2025-03-02 01:37:18,True
24.5,-101.5,1,190.26,0,0.3,58.65,0.1,3.31,7.64,0.71,2025-03-02 01:37:19,True
24.5,-101.0,2,205.28,0,0.57,65.8,0.5,4.7,8.59,1.25,2025-03-02 01:37:20,True
24.5,-100.5,2,205.28,0,1.14,62.94,0.18,2.93,4.76,0.73,2025-03-02 01:37:21,True
24.5,-100.0,2,198.6,0,0.55,62.23,0.63,7.7,10.96,0.33,2025-03-02 01:37:22,True
24.5,-99.5,2,236.99,0,1.8,69.38,0.6,8.35,11.75,0.89,2025-03-02 01:37:23,True
24.5,-99.0,2,213.62,0,0.32,65.09,0.06,4.01,6.31,1.24,2025-03-02 01:37:24,True
24.5,-98.5,2,220.3,0,0.38,63.66,0.02,2.61,4.29,0.72,2025-03-02 01:37:25,True
24.5,-98.0,2,233.65,0,0.53,65.09,0.04,1.72,2.86,0.5,2025-03-02 01:37:26,True
24.5,-97.5,2,236.99,0,0.08,70.81,0.05,2.21,3.62,0.03,2025-03-02 01:37:27,True
24.5,-83.0,3,243.66,0,0.47,115.87,0.45,7.58,10.73,0.3,2025-03-02 01:37:56,True
24.5,-82.0,3,233.65,0,0.4,124.45,0.39,5.01,8.35,0.33,2025-03-02 01:37:58,True
24.5,-81.5,3,250.34,0,0.58,131.61,0.48,8.69,12.2,0.55,2025-03-02 01:37:59,True
24.5,-81.0,3,283.72,0,0.94,128.75,0.63,17.08,20.59,0.6,2025-03-02 01:38:00,True
24.5,-79.5,2,243.66,0,0.44,95.84,0.38,6.74,9.7,0,2025-03-02 01:38:03,True
24.5,-79.0,2,230.31,0,0.13,71.53,0.07,1.9,2.73,0,2025-03-02 01:38:04,True
24.5,-78.5,2,230.31,0,0.1,65.8,0.03,2.52,3.48,0,2025-03-02 01:38:05,True
24.5,-78.0,1,226.97,0,0.31,53.64,0.06,3.39,4.86,0.04,2025-03-02 01:38:06,True
24.5,-77.5,1,223.64,0,0.27,53.64,0.12,2.18,3.49,0,2025-03-02 01:38:07,True
24.5,-77.0,1,223.64,0,0.11,54.36,0.05,1.51,2.8,0,2025-03-02 01:38:08,True
24.5,-76.5,1,223.64,0,0.11,53.64,0.05,1.7,3.28,0,2025-03-02 01:38:09,True
